Theme,Word (script),Transliteration,English meaning,Opposite word,Reviewer notes / correction
Food,पानी,paani,water,,
Food,दूध,doodh,milk,,
Food,आम,aam,mango,,
Food,रोटी,roti,flatbread,,
Food,चावल,chawal,rice,,
Food,केला,kela,banana,,
Colors,लाल,laal,red,,
Colors,नीला,neela,blue,,
Colors,पीला,peela,yellow,,
Colors,हरा,hara,green,,
Colors,काला,kaala,black,,
Opposites,दिन,din,day,रात (night),
Opposites,रात,raat,night,दिन (day),
Opposites,गरम,garam,hot,ठंडा (cold),
Opposites,ठंडा,thanda,cold,गरम (hot),
Opposites,ऊपर,oopar,up,नीचे (down),
Opposites,नीचे,neeche,down,ऊपर (up),
Opposites,बड़ा,bada,big,छोटा (small),
Opposites,छोटा,chota,small,बड़ा (big),
Opposites,खुश,khush,happy,उदास (sad),
Opposites,उदास,udaas,sad,खुश (happy),
Opposites Two,आओ,aao,come,जाओ (go),
Opposites Two,जाओ,jaao,go,आओ (come),
Opposites Two,बैठो,baitho,sit down,उठो (get up),
Opposites Two,उठो,utho,get up,बैठो (sit down),
Opposites Two,शुरू,shuru,start,रुको (stop),
Opposites Two,रुको,ruko,stop,शुरू (start),
Opposites Two,यहाँ,yahaan,here,वहाँ (there),
Opposites Two,वहाँ,vahaan,there,यहाँ (here),
Opposites Two,आगे,aage,front,पीछे (back),
Opposites Two,पीछे,peeche,back,आगे (front),
Opposites Two,खोलो,kholo,open,बंद करो (close),
Opposites Two,बंद करो,band karo,close,खोलो (open),
Family,माँ,maa,mother,,
Family,पिता,pita,father,,
Family,भाई,bhai,brother,,
Family,बहन,bahan,sister,,
Family,बच्चा,baccha,child,,
Starter sounds,अ,a,"sound ""a""",,
Starter sounds,आ,aa,"sound ""aa""",,
Starter sounds,क,ka,"sound ""ka""",,
Starter sounds,म,ma,"sound ""ma""",,
Starter sounds,प,pa,"sound ""pa""",,
Starter sounds,न,na,"sound ""na""",,
Starter sounds,र,ra,"sound ""ra""",,
Starter sounds,ल,la,"sound ""la""",,
Starter sounds,स,sa,"sound ""sa""",,
Starter sounds,ह,ha,"sound ""ha""",,
Animals,कुत्ता,kutta,dog,,
Animals,बिल्ली,billi,cat,,
Animals,हाथी,haathi,elephant,,
Animals,शेर,sher,lion,,
Animals,खरगोश,khargosh,rabbit,,
Animals,चिड़िया,chidiya,bird,,
Numbers,एक,ek,1,,
Numbers,दो,do,2,,
Numbers,तीन,teen,3,,
Numbers,चार,chaar,4,,
Numbers,पाँच,paanch,5,,
Numbers,छह,chhah,6,,
Numbers,सात,saat,7,,
Numbers,आठ,aath,8,,
Numbers,नौ,nau,9,,
Numbers,दस,das,10,,
Body,आँख,aankh,eye,,
Body,नाक,naak,nose,,
Body,कान,kaan,ear,,
Body,हाथ,haath,hand,,
Body,पैर,pair,foot,,
Body,मुँह,munh,mouth,,
Clothes,शर्ट,shirt,shirt,,
Clothes,पैंट,pant,pants,,
Clothes,टोपी,topi,hat,,
Clothes,जूते,joote,shoes,,
Clothes,मोज़े,moze,socks,,
Clothes,साड़ी,saari,saree,,
Transport,कार,kaar,car,,
Transport,बस,bas,bus,,
Transport,ट्रेन,train,train,,
Transport,विमान,vimaan,airplane,,
Transport,साइकिल,saaikil,bicycle,,
Transport,नाव,naav,boat,,
Places,घर,ghar,home,,
Places,बाज़ार,baazaar,market,,
Places,अस्पताल,aspataal,hospital,,
Places,मंदिर,mandir,temple,,
Places,पार्क,park,park,,
Places,सड़क,sadak,road,,
School,किताब,kitaab,book,,
School,पेंसिल,pencil,pencil,,
School,बस्ता,basta,school bag,,
School,कलम,kalam,pen,,
School,स्केल,scale,ruler,,
School,कॉपी,copy,notebook,,
