Theme,Word (script),Transliteration,English meaning,Opposite word,Reviewer notes / correction
Food,தண்ணீர்,thanneer,water,,
Food,பால்,paal,milk,,
Food,மாம்பழம்,maampazham,mango,,
Food,ரொட்டி,rotti,flatbread,,
Food,அரிசி,arisi,rice,,
Food,வாழைப்பழம்,vaazhaipazham,banana,,
Colors,சிவப்பு,sivappu,red,,
Colors,நீலம்,neelam,blue,,
Colors,மஞ்சள்,manjal,yellow,,
Colors,பச்சை,pachai,green,,
Colors,கருப்பு,karuppu,black,,
Opposites,பகல்,pagal,day,இரவு (night),
Opposites,இரவு,iravu,night,பகல் (day),
Opposites,சூடு,soodu,hot,குளிர் (cold),
Opposites,குளிர்,kulir,cold,சூடு (hot),
Opposites,மேலே,mele,up,கீழே (down),
Opposites,கீழே,keezhe,down,மேலே (up),
Opposites,பெரிய,periya,big,சிறிய (small),
Opposites,சிறிய,siriya,small,பெரிய (big),
Opposites,சந்தோஷம்,santhosham,happy,சோகம் (sad),
Opposites,சோகம்,sokam,sad,சந்தோஷம் (happy),
Opposites Two,வா,vaa,come,போ (go),
Opposites Two,போ,po,go,வா (come),
Opposites Two,உட்காரு,utkaaru,sit down,எழுந்திரு (get up),
Opposites Two,எழுந்திரு,ezhundhiru,get up,உட்காரு (sit down),
Opposites Two,தொடங்கு,thodangu,start,நில் (stop),
Opposites Two,நில்,nil,stop,தொடங்கு (start),
Opposites Two,இங்கே,inge,here,அங்கே (there),
Opposites Two,அங்கே,ange,there,இங்கே (here),
Opposites Two,முன்னே,munne,front,பின்னே (back),
Opposites Two,பின்னே,pinne,back,முன்னே (front),
Opposites Two,திற,thira,open,மூடு (close),
Opposites Two,மூடு,moodu,close,திற (open),
Family,அம்மா,amma,mother,,
Family,அப்பா,appa,father,,
Family,அண்ணன்,annan,brother,,
Family,அக்கா,akka,sister,,
Family,குழந்தை,kuzhandhai,child,,
Starter sounds,அ,a,"sound ""a""",,
Starter sounds,ஆ,aa,"sound ""aa""",,
Starter sounds,க,ka,"sound ""ka""",,
Starter sounds,ம,ma,"sound ""ma""",,
Starter sounds,ப,pa,"sound ""pa""",,
Starter sounds,ந,na,"sound ""na""",,
Starter sounds,ர,ra,"sound ""ra""",,
Starter sounds,ல,la,"sound ""la""",,
Starter sounds,ஸ,sa,"sound ""sa""",,
Starter sounds,ஹ,ha,"sound ""ha""",,
Animals,நாய்,naai,dog,,
Animals,பூனை,poonai,cat,,
Animals,யானை,yaanai,elephant,,
Animals,சிங்கம்,singam,lion,,
Animals,முயல்,muyal,rabbit,,
Animals,பறவை,paravai,bird,,
Numbers,ஒன்று,ondru,1,,
Numbers,இரண்டு,irandu,2,,
Numbers,மூன்று,moondru,3,,
Numbers,நான்கு,naangu,4,,
Numbers,ஐந்து,aindhu,5,,
Numbers,ஆறு,aaru,6,,
Numbers,ஏழு,ezhu,7,,
Numbers,எட்டு,ettu,8,,
Numbers,ஒன்பது,onbadhu,9,,
Numbers,பத்து,paththu,10,,
Body,கண்,kan,eye,,
Body,மூக்கு,mookku,nose,,
Body,காது,kaadhu,ear,,
Body,கை,kai,hand,,
Body,கால்,kaal,foot,,
Body,வாய்,vaai,mouth,,
Clothes,சட்டை,sattai,shirt,,
Clothes,காற்சட்டை,kaarchattai,pants,,
Clothes,தொப்பி,thoppi,hat,,
Clothes,காலணி,kaalani,shoes,,
Clothes,காலுறை,kaalurai,socks,,
Clothes,சேலை,saelai,saree,,
Transport,கார்,kaar,car,,
Transport,பேருந்து,perundhu,bus,,
Transport,ரயில்,rayil,train,,
Transport,விமானம்,vimaanam,airplane,,
Transport,மிதிவண்டி,mithivandi,bicycle,,
Transport,படகு,padagu,boat,,
Places,வீடு,veedu,home,,
Places,சந்தை,santhai,market,,
Places,மருத்துவமனை,maruthuvamanai,hospital,,
Places,கோவில்,koyil,temple,,
Places,பூங்கா,poonga,park,,
Places,சாலை,saalai,road,,
School,புத்தகம்,puthagam,book,,
School,பென்சில்,pencil,pencil,,
School,பள்ளிப்பை,pallippai,school bag,,
School,பேனா,penaa,pen,,
School,அளவுகோல்,alavukol,ruler,,
School,குறிப்பேடு,kurippedu,notebook,,
